Clustering Algorithm,Results 1,Results 2,Results 3,Results 4,Results 5,Results 6,Results 7,Results 8,Results 9,Results 10,Results 11,Mean Scores
KMeans Clustering,0.4206730769230769,0.3141025641025641,0.2340966921119593,0.30392156862745096,0.2581143740340031,0.29411764705882354,0.289568345323741,0.29831387808041504,0.29931972789115646,0.26949152542372884,0.27398720682302774,0.2959733278545406
Agglomerative Clustering,0.3557692307692308,0.33974358974358976,0.2506361323155216,0.25980392156862747,0.23647604327666152,0.28540305010893247,0.29136690647482016,0.2840466926070039,0.25396825396825395,0.23389830508474577,0.31663113006396587,0.2825221141801231
Affinity Propagation Clustering,0.17307692307692307,0.1517094017094017,0.07506361323155217,0.12418300653594772,0.0865533230293663,0.12200435729847495,0.1510791366906475,0.11673151750972763,0.16780045351473924,0.10338983050847457,0.09914712153518124,0.1246126076945851
Spectral Clustering,0.30528846153846156,0.3995726495726496,0.26590330788804073,0.17320261437908496,0.17156105100463678,0.23529411764705882,0.25539568345323743,0.2814526588845655,0.2743764172335601,0.28983050847457625,0.2579957356076759,0.2645339277894135
Birch Clustering,0.4423076923076923,0.39316239316239315,0.22646310432569974,0.27941176470588236,0.23183925811437403,0.2701525054466231,0.28597122302158273,0.3411154345006485,0.31746031746031744,0.23728813559322035,0.32196162046908317,0.3042848590097742
DBSCAN Clustering,0.27163461538461536,0.40384615384615385,0.2748091603053435,0.1650326797385621,0.15919629057187018,0.19498910675381265,0.2302158273381295,0.26848249027237353,0.23809523809523808,0.2542372881355932,0.2462686567164179,0.24607340974164635
MeanShift Clustering,0.3317307692307692,0.41025641025641024,0.27735368956743,0.16830065359477125,0.1947449768160742,0.24618736383442266,0.2517985611510791,0.2918287937743191,0.2562358276643991,0.2830508474576271,0.24946695095948826,0.2691777131187991
